candidate_id,name,norm_name,place_type,focus_type,is_specific_focus,localidad,comuna,provincia,region,lat,lon,source,ambiguous_count
geo_031046,Punta Cora,punta cora,Elementos del Relieve,relieve,True,,CISNES,AISEN,DE AISEN,-44.36674646570938,-72.98300091030343,Toponimos_BCN,1
geo_031047,Punta Corbett,punta corbett,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-48.73340190968512,-74.49963635838976,Toponimos_BCN,1
geo_031048,Punta Cordelia,punta cordelia,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-50.9667263260645,-74.23295312539574,Toponimos_BCN,1
geo_031049,Punta Cordera,punta cordera,Elementos del Relieve,relieve,True,,CABO DE HORNOS,ANTARTICA CHILENA,DE MAGALLANES y ANTARTICA CHILENA,-54.80003563996144,-71.33292609958484,Toponimos_BCN,1
geo_031050,Punta Cordoba,punta cordoba,Elementos del Relieve,relieve,True,,EL TABO,SAN ANTONIO,DE VALPARAISO,-33.46374518772914,-71.65583110520289,Toponimos_BCN,1
geo_031051,Punta Cordova,punta cordova,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-50.01673185994503,-74.86629263941605,Toponimos_BCN,1
geo_031052,Punta Cork,punta cork,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-52.00005406251892,-73.68294581972363,Toponimos_BCN,1
geo_031053,Punta Corona,punta corona,Elementos del Relieve,relieve,True,,ANCUD,CHILOE,DE LOS LAGOS,-41.78342473974904,-73.88301276973654,Toponimos_BCN,1
geo_031054,Punta Coronel,punta coronel,Elementos del Relieve,relieve,True,,CORONEL,CONCEPCION,DEL BIO-BIO,-37.000106038784764,-73.18303532154012,Toponimos_BCN,2
geo_031055,Punta Coronel,punta coronel,Elementos del Relieve,relieve,True,,CALBUCO,LLANQUIHUE,DE LOS LAGOS,-41.79786811080343,-73.47856911410027,Toponimos_BCN,2
geo_031056,Punta Corral Grande,punta corral grande,Elementos del Relieve,relieve,True,,CALBUCO,LLANQUIHUE,DE LOS LAGOS,-41.73342241096218,-72.98218160005192,Toponimos_BCN,1
geo_031057,Punta Corralillos,punta corralillos,Elementos del Relieve,relieve,True,,TALCAHUANO,CONCEPCION,DEL BIO-BIO,-36.666773706116345,-73.13303668823397,Toponimos_BCN,1
geo_031058,Punta Corralinos,punta corralinos,Elementos del Relieve,relieve,True,,TALCAHUANO,CONCEPCION,DEL BIO-BIO,-36.666773706116345,-73.13303668823397,Toponimos_BCN,1
geo_031059,Punta Coscorron,punta coscorron,Elementos del Relieve,relieve,True,,CABO DE HORNOS,ANTARTICA CHILENA,DE MAGALLANES y ANTARTICA CHILENA,-54.71670404598476,-71.74959230214714,Toponimos_BCN,1
geo_031060,Punta Cotiao,punta cotiao,Elementos del Relieve,relieve,True,,QUELLON,CHILOE,DE LOS LAGOS,-42.86675528374077,-74.21633997358539,Toponimos_BCN,1
geo_031061,Punta Cotitira,punta cotitira,Elementos del Relieve,relieve,True,,IQUIQUE,IQUIQUE,DE TARAPACA,-20.73348505116857,-70.18308401274219,Toponimos_BCN,1
geo_031062,Punta Courrejolles,punta courrejolles,Elementos del Relieve,relieve,True,,CABO DE HORNOS,ANTARTICA CHILENA,DE MAGALLANES y ANTARTICA CHILENA,-55.26668813818053,-67.5996000186043,Toponimos_BCN,1
geo_031063,Punta Coyomue,punta coyomue,Elementos del Relieve,relieve,True,,CASTRO,CHILOE,DE LOS LAGOS,-42.40008870709989,-73.66634351057876,Toponimos_BCN,1
geo_031064,Punta Coyumbue,punta coyumbue,Elementos del Relieve,relieve,True,,CASTRO,CHILOE,DE LOS LAGOS,-42.40008870709989,-73.66634351057876,Toponimos_BCN,1
geo_031065,Punta Coyumue,punta coyumue,Elementos del Relieve,relieve,True,,CASTRO,CHILOE,DE LOS LAGOS,-42.40008870709989,-73.66634351057876,Toponimos_BCN,1
geo_031066,Punta Crater,punta crater,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-52.08338640504266,-73.49961219993641,Toponimos_BCN,2
geo_031067,Punta Crater,punta crater,Elementos del Relieve,relieve,True,,TORTEL,CAPITAN PRAT,DE AISEN,-48.48340479628996,-75.11630352611408,Toponimos_BCN,2
geo_031068,Punta Cremi,punta cremi,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-52.18338757534188,-73.96627688848115,Toponimos_BCN,1
geo_031069,Punta Crisanta,punta crisanta,Elementos del Relieve,relieve,True,,PUNTA ARENAS,MAGALLANES,DE MAGALLANES y ANTARTICA CHILENA,-54.183375185650526,-72.4829289103032,Toponimos_BCN,1
geo_031070,Punta Cristina,punta cristina,Elementos del Relieve,relieve,True,,RIO VERDE,MAGALLANES,DE MAGALLANES y ANTARTICA CHILENA,-53.383378602291295,-72.59960290519345,Toponimos_BCN,1
geo_031071,Punta Crosbie,punta crosbie,Elementos del Relieve,relieve,True,,TORTEL,CAPITAN PRAT,DE AISEN,-47.75007181163144,-74.39964350969204,Toponimos_BCN,1
