folio,id_persona,expp,expc,provincia,comuna
100700301,4,198,188,131,13119
100700401,1,198,189,131,13119
100700501,1,198,189,131,13119
100700501,2,198,189,131,13119
100700501,3,198,189,131,13119
100700701,1,198,189,131,13119
100700701,2,198,189,131,13119
100700701,3,198,189,131,13119
100700801,1,198,188,131,13119
100700801,2,198,188,131,13119
100700801,3,198,188,131,13119
100700801,4,198,188,131,13119
100710101,1,179,214,131,13125
100710101,2,179,214,131,13125
100710101,3,179,214,131,13125
100710301,1,178,215,131,13125
100710401,1,178,214,131,13125
100710401,2,178,214,131,13125
100710401,3,178,214,131,13125
100710501,1,178,215,131,13125
100710501,2,178,215,131,13125
100710601,1,178,214,131,13125
100710601,2,178,214,131,13125
100710601,3,178,214,131,13125
100710601,4,178,214,131,13125
100710601,5,178,214,131,13125
100710701,1,179,215,131,13125
100710701,2,179,215,131,13125
100710701,3,179,215,131,13125
100710701,4,179,215,131,13125
100710701,5,179,215,131,13125
100710701,6,179,215,131,13125
100710801,1,178,215,131,13125
100710801,2,178,215,131,13125
100710801,3,178,215,131,13125
100710801,4,178,215,131,13125
100720101,1,70,70,101,10101
100720101,2,70,70,101,10101
100720201,1,70,69,101,10101
100720201,2,70,69,101,10101
100720201,3,70,69,101,10101
100720201,4,70,69,101,10101
100720301,1,71,69,101,10101
100720301,2,71,69,101,10101
100720301,3,71,69,101,10101
100720301,4,71,69,101,10101
100720401,1,70,69,101,10101
100720401,2,70,69,101,10101
100720401,3,70,69,101,10101
100720401,4,70,69,101,10101
100720401,5,70,69,101,10101
100720401,6,70,69,101,10101
100720501,1,70,69,101,10101
100720501,2,70,69,101,10101
100720501,3,70,69,101,10101
100720501,4,70,69,101,10101
100720601,1,70,69,101,10101
100720601,2,70,69,101,10101
100720701,1,71,69,101,10101
100720701,2,71,69,101,10101
100720801,1,70,70,101,10101
100720801,2,70,70,101,10101
100720801,3,70,70,101,10101
100790101,1,211,209,132,13201
100790101,2,211,209,132,13201
100790101,4,211,209,132,13201
100790101,5,211,209,132,13201
100790101,6,211,209,132,13201
100790201,1,211,209,132,13201
100790201,2,211,209,132,13201
100790201,3,211,209,132,13201
100790401,1,211,209,132,13201
100790401,2,211,209,132,13201
100790401,3,211,209,132,13201
100790501,1,211,209,132,13201
100790501,2,211,209,132,13201
100790501,3,211,209,132,13201
100790501,4,211,209,132,13201
100790501,5,211,209,132,13201
100790601,1,211,209,132,13201
100790601,2,211,209,132,13201
100790601,3,211,209,132,13201
100790601,4,211,209,132,13201
100790801,1,211,208,132,13201
100790801,2,211,208,132,13201
100790801,3,211,208,132,13201
100820101,1,79,79,81,8110
100820101,2,79,79,81,8110
100820101,3,79,79,81,8110
100820101,4,79,79,81,8110
100820201,1,79,80,81,8110
100820301,1,79,80,81,8110
100820301,2,79,80,81,8110
100820501,1,79,79,81,8110
100820501,2,79,79,81,8110
100820601,1,79,79,81,8110
100820701,1,79,79,81,8110
100820801,1,79,79,81,8110
100820801,2,79,79,81,8110
100820801,3,79,79,81,8110
100820801,4,79,79,81,8110
100920201,1,30,32,91,9104
100920201,2,30,32,91,9104
100920201,3,30,32,91,9104
100920201,4,30,32,91,9104
100920201,5,30,32,91,9104
100920201,6,30,32,91,9104
100920201,7,30,32,91,9104
100920201,8,30,32,91,9104
100920201,9,30,32,91,9104
100920201,10,30,32,91,9104
100920301,1,31,32,91,9104
100920301,2,31,32,91,9104
100920401,1,30,32,91,9104
100920501,1,31,32,91,9104
100920501,2,31,32,91,9104
100920501,3,31,32,91,9104
100920501,4,31,32,91,9104
100920701,1,31,32,91,9104
100920701,2,31,32,91,9104
100920801,1,31,31,91,9104
100950101,1,34,32,11,1107
100950101,2,34,32,11,1107
100950101,3,34,32,11,1107
100950101,4,34,32,11,1107
100950201,1,33,32,11,1107
100950201,2,33,32,11,1107
100950201,3,33,32,11,1107
100950201,4,33,32,11,1107
100950201,5,33,32,11,1107
100950301,1,34,31,11,1107
100950301,2,34,31,11,1107
100950301,3,34,31,11,1107
100950301,4,34,31,11,1107
100950301,5,34,31,11,1107
100950401,1,34,32,11,1107
100950401,2,34,32,11,1107
100950401,3,34,32,11,1107
100950501,1,34,31,11,1107
100950501,2,34,31,11,1107
100950501,3,34,31,11,1107
100950601,1,33,32,11,1107
100950601,2,33,32,11,1107
100950701,1,34,31,11,1107
100950701,2,34,31,11,1107
100950801,1,33,31,11,1107
100950801,2,33,31,11,1107
100950801,3,33,31,11,1107
100951101,1,34,31,11,1107
100951101,2,34,31,11,1107
100951101,3,34,31,11,1107
100951201,1,34,31,11,1107
100951201,2,34,31,11,1107
100951201,3,34,31,11,1107
100960201,1,73,72,61,6101
100960201,2,73,72,61,6101
100960201,3,73,72,61,6101
100960201,4,73,72,61,6101
100960301,1,73,72,61,6101
100960401,1,73,72,61,6101
100960501,1,73,72,61,6101
100960501,2,73,72,61,6101
100960501,3,73,72,61,6101
100960501,4,73,72,61,6101
100960501,5,73,72,61,6101
100960801,1,73,72,61,6101
100960801,2,73,72,61,6101
100960801,3,73,72,61,6101
100980101,1,135,115,131,13130
100980201,1,135,115,131,13130
100980201,2,135,115,131,13130
100980501,1,135,116,131,13130
100980501,2,135,116,131,13130
100980501,3,135,116,131,13130
100980701,1,135,115,131,13130
100980701,2,135,115,131,13130
101020101,1,106,105,101,10101
101020101,2,106,105,101,10101
101020401,1,105,104,101,10101
101020401,2,105,104,101,10101
101020701,1,105,104,101,10101
101030101,1,46,50,91,9101
101030201,1,46,50,91,9101
101030201,2,46,50,91,9101
101030201,3,46,50,91,9101
101030301,1,45,51,91,9101
101030301,2,45,51,91,9101
101030401,1,46,50,91,9101
101030401,2,46,50,91,9101
101030401,3,46,50,91,9101
101030401,6,46,50,91,9101
101030401,7,46,50,91,9101
101030401,8,46,50,91,9101
101030401,9,46,50,91,9101
101030501,1,46,51,91,9101
101030501,2,46,51,91,9101
101030601,1,45,50,91,9101
101030701,1,46,51,91,9101
101030701,2,46,51,91,9101
101030701,3,46,51,91,9101
101030701,4,46,51,91,9101
101030801,1,46,50,91,9101
101060301,1,292,265,131,13132
101060301,2,292,265,131,13132
101060601,1,292,265,131,13132
101060601,2,292,265,131,13132
101060601,3,292,265,131,13132
101060601,4,292,265,131,13132
101060601,5,292,265,131,13132
101070301,1,45,44,111,11101
101070301,2,45,44,111,11101
101070301,3,45,44,111,11101
101070301,4,45,44,111,11101
101070401,1,45,45,111,11101
101070401,2,45,45,111,11101
101070501,1,45,45,111,11101
101070601,1,45,45,111,11101
101070601,2,45,45,111,11101
101070601,3,45,45,111,11101
101070601,4,45,45,111,11101
101070701,1,45,45,111,11101
101070901,1,45,44,111,11101
101070901,2,45,44,111,11101
101070901,3,45,44,111,11101
101071101,1,45,45,111,11101
101071301,1,45,44,111,11101
101071401,1,44,44,111,11101
101071401,2,44,44,111,11101
101071401,3,44,44,111,11101
101071401,4,44,44,111,11101
101071401,5,44,44,111,11101
101071401,6,44,44,111,11101
