_source_sha256,code,delta_fn,description,name,units
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,coldest_night,abs,"Temperatura de la noche más fría (temperatura mínima) del periodo considerado (año, estación, mes)",Noche más fría,ºC
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,cold_spell_duration_index_long,abs,Numero de días con al menos 6 días consecutivos en que la temperatura mínima no supera el percentíl 10 de la temperatura mínima diaria en el periodo de referencia (1980 a 2010).,Duración de episodios fríos (> 6 días),dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,cold_spell_duration_index_short,abs,Numero de días con al menos 6 días consecutivos en que la temperatura mínima no supera el percentíl 10 de la temperatura mínima diaria en el periodo de referencia (1980 a 2010).,Duración de episodios fríos (> 3 días),dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,cool_days,abs,Numero de días en que la temperatura máxima en menor que el percentíl 10.,Días fríos,dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,cool_nights,abs,Numero de días en que la temperatura mínima en menor que el percentíl 10.,Noches frías,dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,degdays_below_0c,abs,Valor acumulada de la diferencia entre 0°C y  temperatura media diaria,Grados-dia bajo 0ºC,grados-dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,degdays_below_10C,abs,Valor acumulada de la diferencia entre 10°C y  temperatura media diaria,Grados-dia bajo 10ºC,grados-dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,degdays_below_15C,abs,Valor acumulada de la diferencia entre 15°C y  temperatura media diaria,Grados-dia bajo 15ºC,grados-dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,degdays_below_17_heating,abs,Suma entre la diferencia de la temperatura media y 17°C,Grados día de calefacción (17°C),grados-dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,degdays_below_5C,abs,Valor acumulada de la diferencia entre 5°C y  temperatura media diaria,Grados-dia bajo 5ºC,grados-dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,frost_days,abs,Número de días en que la temperatura mínima es menor que 0ºC,Días de  escarcha,dias
